id_commentaire_plat,note,avis,date,#idTenrac,#idRepas
34,4,"Bon repas, la lampe chauffait bien. Le fromage était coulant à souhait. J'aurais aimé un peu plus de variété dans les accompagnements.",5/23/2024,262,6
35,4,"Très bonne cène, l'ambiance mystique était au rendez-vous. La raclette était fondante. Dommage que le repas ait été un peu court.",8/26/2024,119,10
36,4,Bon festin des porte-spatules. Les tenders étaient savoureux. La raclette légèrement moins chaude qu'espéré mais très bonne quand même.,5/15/2025,168,21
37,4,Belle nuit fromagère. Le fromage était de qualité et les tenders bien assaisonnés. Ambiance un peu moins mystérieuse que d'habitude.,1/7/2026,192,8
38,4,"Souper réussi, les initiés ont bien honoré la tradition. Raclette généreuse. Petit bémol sur l'organisation de la fin de soirée.",5/15/2025,282,21
39,4,"Bonne communion autour du tender. Fromage coulant, ambiance chaleureuse. On aurait apprécié un dessert à la hauteur du reste.",3/28/2025,51,19
40,4,Festin de la croûte dorée bien réussi. Tenders croustillants et raclette fondante. Quelques minutes d'attente en trop entre les plats.,3/13/2024,248,3
41,4,"Grand conclave plaisant. Le fil fondu était long comme il faut. Légère déception sur la qualité du fromage ce soir, mais bon repas.",8/18/2025,284,25
42,4,Bonne raclette traditionnelle. Le chevalier présidant a bien géré la soirée. Les tenders dorés étaient à la hauteur des espérances.,8/18/2025,266,25
43,4,Festin du tender réussi. Sauce secrète toujours aussi mystérieuse et savoureuse. Manquait un peu de fromage à mon goût personnel.,1/31/2026,216,8
44,4,"Raclette des ombres bien mystérieuse. Fromage correct, tenders bien frits. L'adresse secrète était particulièrement bien choisie ce soir.",4/21/2025,29,20
45,4,Banquet honorable. L'Ordre a maintenu son niveau de qualité habituel. Petit manque d'originalité dans les plats proposés cette fois.,6/7/2025,2,22
46,3,Repas correct sans être mémorable. La raclette était un peu trop froide à mon goût. Les tenders compensaient heureusement la situation.,3/4/2025,255,18
47,3,"Soirée moyenne. La lampe chauffante semblait fatiguée ce soir. Fromage pas assez coulant, tenders corrects. On a vu mieux par le passé.",7/25/2025,146,24
48,3,Cène décevante. L'ambiance mystique n'était pas vraiment au rendez-vous. La raclette était banale. J'espère mieux pour le prochain repas.,2/9/2025,287,17
49,3,Festin moyen. Les porte-spatules ont manqué d'entrain. La raclette était correcte mais sans éclat particulier. Ambiance un peu terne.,12/23/2024,48,15
50,3,Nuit fromagère sans grand relief. Le fromage était acceptable mais pas exceptionnel. Les tenders étaient trop secs. Peut mieux faire.,3/28/2025,170,19
51,3,"Souper passable. Le gril mystique n'a pas semblé très inspiré ce soir. Raclette correcte, tenders ordinaires. Déception relative.",2/9/2025,239,17
52,3,Communion tendue. Quelques désaccords sur la cuisson des tenders ont plombé l'ambiance. Fromage correct mais soirée en demi-teinte.,6/7/2025,135,22
53,3,La croûte n'était pas aussi dorée qu'annoncé. Repas honnête mais sans surprise. Le commandeur semblait lui-même peu convaincu.,10/28/2025,34,1
54,3,Conclave moyen. Le fil fondu s'est cassé trop vite. Organisation perfectible. La raclette sauvait un peu les meubles heureusement.,9/10/2025,121,21
55,3,Raclette traditionnelle trop traditionnelle justement. Manque d'originalité flagrant. Tenders corrects. On attendait plus de créativité.,2/18/2024,288,2
56,3,Tender correct mais sauce secrète moins secrète que d'habitude. L'impression d'avoir déjà goûté ça. Repas sans grande surprise.,8/26/2024,43,10
57,3,Raclette des ombres trop éclairée. Manque de mystère et de fromage. Les tenders étaient trop frits. Soirée en dessous des attentes.,1/26/2024,288,1
58,3,Banquet trop long et pas assez garni. On a attendu entre chaque plat. La raclette était correcte mais l'organisation laissait à désirer.,1/26/2024,20,1
59,3,"Dégustation ordinaire. Les chevaliers semblaient fatigués. Fromage moyen, tenders acceptables. Rien de transcendant ce soir malheureusement.",3/4/2025,244,18
60,2,"Soirée décevante. La lampe à raclette tombait en panne toutes les dix minutes. Fromage à peine fondu, tenders froids. Vraiment dommage.",4/30/2024,7,5
61,2,Cène ratée. Le fromage était trop épais et mal cuit. Les tenders semblaient réchauffés. L'ambiance mystique était totalement absente.,8/3/2024,165,9
62,2,Festin des porte-spatules très décevant. Les spatules ont peu servi tellement il y avait peu à racler. Quantités insuffisantes pour tous.,10/28/2025,219,1
63,2,"Nuit fromagère cauchemardesque. Le fromage était dur, les tenders caoutchouteux. On a failli rompre le vœu de silence tellement c'était mauvais.",2/9/2025,145,17
64,2,"Souper raté. Le gril mystique a rendu l'âme en plein milieu du repas. Repas froid, ambiance glaciale. Décevant pour un repas de l'Ordre.",5/15/2025,206,21
65,2,Communion avortée. La machine est tombée en panne. On a fini à la bougie avec du fromage tiède. Expérience à ne pas renouveler.,3/20/2026,261,24
66,2,"La croûte n'était pas dorée mais carbonisée. Tenders brûlés, fromage caoutchouteux. Le commandeur lui-même a quitté la table tôt.",12/23/2024,85,15
67,2,Grand conclave raté. Le fil s'est cassé immédiatement. Fromage acheté en dernière minute et de mauvaise qualité. Grande déception.,8/26/2024,284,10
68,1,"Raclette immanquable. Fromage froid, tenders crus au centre. La lampe ne chauffait pas. Honte à l'organisateur. L'Ordre mérite mieux.",9/10/2025,34,21
69,1,Festin catastrophique. Les tenders sentaient le réchauffé. La sauce secrète était visiblement du ketchup industriel. Inadmissible.,7/25/2025,63,24
70,1,"Raclette des ombres : les ombres ont tout mangé avant nous apparemment. Portions minuscules, fromage insipide. Soirée à oublier.",2/24/2026,162,5
71,1,"Banquet indigne de l'Ordre. Fromage avarié, tenders oubliés dans la friteuse, machine en panne. Le Grand Maître serait consterné.",2/24/2026,92,5
72,1,"Pire dégustation de ma vie de Tenrac. Tout était froid, rien n'était prêt. Les chevaliers présents étaient aussi perdus que moi.",1/16/2025,253,16
73,1,"Soirée honteuse. La lampe ardente n'ardait pas du tout. Fromage industriel, tenders congelés pas décongelés. Scandale absolu.",5/23/2024,6,6
74,1,"Cène du coulant éternel : rien n'a coulé. Fromage bloc, tenders caoutchouc, ambiance funèbre. Je demande réparation à l'Ordre.",3/13/2024,221,3
75,1,"Les porte-spatules ont porté des spatules inutiles. Rien à racler, rien à manger. Organisation désastreuse du début à la fin.",6/7/2025,180,22
76,5,"Raclette divine, fromage coulant à la perfection. Les tenders croustillants fondaient en bouche. Soirée inoubliable digne du Grand Maître.",8/18/2025,48,25
77,5,Un festin digne des plus hauts grades de l'Ordre. Chaque bouchée était une révélation fromagère absolue. Vive les Tenracs !,12/23/2024,209,15
78,5,"Fromage d'exception, tenders bénis, ambiance mystique au rendez-vous. Le Chevalier présidant a honoré la tradition avec brio.",6/16/2024,30,7
79,5,"La lampe à raclette ronronnait comme jamais. Fromage doré, tenders fondants. On ne pouvait rêver meilleure soirée entre Tenracs.",9/10/2025,200,21
80,5,Festin exceptionnel. Chaque plat était une ode à la raclette sacrée. Je suis fier et rassasié d'être membre de cet Ordre.,5/23/2024,223,6
81,5,Les tenders étaient d'une tendreté absolument transcendante. La sauce secrète restera gravée dans ma mémoire pour toujours.,4/6/2024,284,4
82,5,"Raclette somptueuse, ambiance feutrée et solennelle. Le fromage coulait avec une grâce infinie. Honneur et saveur réunis.",7/25/2025,219,24
83,5,"Soirée parfaite de bout en bout. La machine ronronnait, le fromage coulait, les tenders craquaient. L'Ordre est en grande forme.",1/7/2026,27,8
84,5,"Le Grand Chancelier lui-même aurait applaudi. Qualité irréprochable, générosité exemplaire. Un repas de légende tenracienne.",11/6/2024,125,13
85,5,"Les porte-spatules ont assuré avec maestria. Service impeccable, raclette parfaite. Cinq étoiles amplement mérités ce soir.",10/28/2025,24,1
86,5,"Fromage coulant, tenders croustillants, sauce divine. L'adresse secrète était idéale. Une soirée gravée dans les annales de l'Ordre.",8/3/2024,42,9
87,5,Dégustations sublimes. Les chevaliers ont honoré la tradition avec brio. On a raclé jusqu'à l'aube avec joie et dévotion.,11/6/2024,128,13
88,5,"La nuit du fromage interminable portait bien son nom. Délicieuse, généreuse, mystérieuse. Magnifique souvenir de Tenrac.",7/10/2024,75,8
89,5,"Communion parfaite autour du tender béni. Fromage coulant, ambiance chaleureuse. Un moment de grâce pure et fromagère.",10/4/2025,279,4
90,5,"Les Frères de la Lampe Ardente ont brillé ce soir. Tout était parfait, du fromage à l'ambiance. Je reviendrai sans hésiter.",1/16/2025,69,16
91,5,"La croûte dorée méritait amplement son nom. Croustillante, généreuse, parfumée. Le Commandeur a validé chaque plat.",7/1/2025,151,23
92,5,Grand conclave réussi haut la main. Le fil fondu était interminable comme il se doit. Soirée inoubliable entre frères.,2/18/2024,171,2
93,5,Raclette traditionnelle sublimée par un fromage hors du commun. Les tenders dorés étaient à la hauteur des espérances.,12/14/2025,208,9
94,5,"Impossible de trouver le moindre défaut ce soir. Tenders croustillants, fromage coulant, sauce maison irréprochable.",3/28/2025,84,19
95,5,Chaque bouchée de tender nappé de raclette était une prière silencieuse. L'Ordre sait encore recevoir. Chapeau bas.,8/3/2024,136,9
96,5,"La sauce secrète de l'Ordre restera gravée dans ma mémoire. Associée aux tenders et au fromage, c'était divin.",12/23/2024,227,15
97,5,"Organisation parfaite, fromage d'excellence, ambiance solennelle. La dignité du repas Tenrac était pleinement respectée.",9/10/2025,52,21
98,5,"Le Maître d'entretien avait bien préparé la machine. Chauffe optimale, fromage parfait. On sent le soin apporté au rite.",6/16/2024,242,7
99,5,"Soirée de haute tenue. Fromage affiné, tenders moelleux, sauce mystérieuse. L'adresse secrète était particulièrement bien choisie.",7/25/2025,284,24
100,5,"On a raclé, on a fondu, on a savouré. Dans cet ordre et avec bonheur. L'Ordre Tenrac préserve un art de vivre unique.",2/18/2024,48,2
101,5,"Festin royal. Le Grand Chevalier présidant a su créer une atmosphère unique. Fromage exceptionnel, tenders bénis.",7/10/2024,265,8
102,5,"La raclette des ombres portait bien son nom : mystérieuse et savoureuse. Tenders parfaits, ambiance secrète réussie.",2/24/2026,137,5
103,5,Banquet de l'Ordre à la hauteur de sa réputation légendaire. Chaque plat était une ode à notre repas sacré.,2/18/2024,173,2
104,5,"Le sanctuaire du tender béni a tenu toutes ses promesses. Soirée magique, fromage coulant, tenders croustillants.",2/9/2025,58,17
105,5,Repas exceptionnel servi avec solennité. La Haute Dame présidait avec grâce. Fromage et tenders en parfaite harmonie.,5/23/2024,11,6
106,5,"Le cercle des fondus tranquilles portait bien son nom. Ambiance apaisée, raclette généreuse, tenders bien assaisonnés.",2/9/2025,262,17
107,5,"Les gardiens de la plaque chauffante ont bien veillé ce soir. Température parfaite, fromage sublime, tenders exemplaires.",9/19/2024,132,11
108,5,"La confrérie du coulant sacré a encore frappé fort. Fromage d'une fluidité divine, tenders croustillants à souhait.",1/7/2026,127,8
109,5,"Les veilleurs de la croûte méritent leur titre. Croûte dorée à la perfection, fromage coulant, tenders fondants.",12/14/2025,299,9
110,5,"Le phalanstère du bon fondu n'a pas menti. Fondu, tendre, savoureux. Une expérience tenracienne complète et réussie.",8/3/2024,140,9
111,5,"La brigade fromagère de l'ombre a frappé fort dans l'obscurité. Fromage de caractère, tenders bien frits. Parfait.",10/13/2024,165,12
112,5,Le cénacle des fromagers errants a trouvé son chemin vers l'excellence. Très grande soirée de communion fromagère.,3/28/2025,244,19
113,5,La loge hermétique du bon fromage a livré ses secrets ce soir. Un fromage d'une qualité rarement atteinte. Bravo.,8/3/2024,71,9
114,5,"Les apôtres du coulant mystérieux ont converti jusqu'au dernier sceptique. Raclette parfaite, foi en l'Ordre renforcée.",12/14/2025,155,9
115,5,"La commanderie de la plaque ardente était en feu ce soir. Fromage ardent, tenders flambants, ambiance embrasée.",3/28/2025,181,19
116,5,Le conclave des chevaliers racleurs fut mémorable. Chaque chevalier a donné le meilleur de lui-même pour ce festin.,2/18/2024,162,2
117,5,Les disciples de la lampe sacrée ont illuminé cette soirée. Lumière et fromage fondus ensemble dans la perfection.,10/28/2025,39,1
118,5,La citadelle du tender immuable a prouvé que la tradition est une force. Tenders identiques à eux-mêmes : excellents.,8/3/2024,125,9
119,5,La société du gratin perpétuel mérite son nom. Un gratin de qualité perpétuellement maintenu. Respect à l'organisation.,2/9/2025,201,17
120,5,Les porteurs de la raclette sacrée ont accompli leur mission avec honneur. Raclette livrée à destination : parfaite.,7/10/2024,233,8
121,5,"Le club des initiés du tender flambé initie avec talent. Tenders flambés à merveille, fromage en apothéose finale.",10/13/2024,257,12
122,5,Les hérauts du fromage interminable ont annoncé la bonne nouvelle. Le fromage était effectivement interminable et divin.,9/10/2025,108,21
123,5,"La fraternité de l'appareil mystique maîtrise ses machines. Entretien parfait, chauffe optimale, résultat exceptionnel.",8/26/2024,276,10
124,5,"Le chapitre des compagnons du gril honore ses engagements. Gril parfait, fromage coulant, tenders croustillants.",10/28/2025,109,1
125,5,L'ordre discret des palais brûlants a su ménager le suspense. Révélation fromagère en fin de soirée. Magistral.,4/21/2025,235,20
126,5,"La guilde des maîtres racleurs démontre son expertise à chaque repas. Ce soir encore, la maîtrise était totale.",6/7/2025,149,22
127,5,Les éveilleurs du fromage endormi ont accompli leur mission. Le fromage s'est éveillé dans toute sa splendeur.,1/16/2025,79,16
128,5,"Le bastion des tenracs de l'ouest tient bon. Qualité constante, tradition respectée, fromage excellent. Félicitations.",4/6/2024,172,4
129,5,"La confrérie du tender et de l'épée tranche dans le vif du sujet. Tenders nets, fromage franc, soirée directe.",4/21/2025,123,20
130,5,"Le grand atelier du fil fondu éternel n'a jamais aussi bien filé. Fromage interminable, tenders sans fin. Parfait.",11/29/2024,146,14
131,5,Repas béni des dieux fromageurs. La raclette coulait comme une rivière de bonheur. Je recommande sans la moindre réserve.,9/10/2025,68,21
132,5,"La tradition Tenrac est bien vivante. Ce repas en est la preuve absolue. Fromage, tenders, amitié. Tout était réuni.",11/6/2024,289,13
133,5,Un repas qui restera dans les annales. Le Grand Maître en personne n'aurait pu faire mieux. Honneur à l'organisateur.,10/13/2024,193,12
134,5,Le fromage était si bon que j'ai failli trahir le secret de l'adresse. Heureusement la règle de l'Ordre m'en a empêché.,9/19/2024,27,11
135,5,"Tenders d'une qualité rare, fromage d'une générosité inouïe. L'Ordre Tenrac mérite sa réputation d'excellence absolue.",4/6/2024,135,4
136,5,On a fondu de plaisir autant que le fromage. Métaphore réussie et repas réussi. Une soirée Tenrac comme on les aime.,2/18/2024,4,2
137,5,La raclette chantait sous la lampe ardente. Les tenders dansaient dans la friteuse. Une symphonie gastronomique tenracienne.,4/21/2025,226,20
138,5,"Cinq étoiles sans hésiter. Le fromage, les tenders, l'ambiance, le secret, tout concourait à la perfection absolue.",9/10/2025,216,21
139,5,"Raclette divine, fromage coulant à la perfection. Les tenders croustillants fondaient en bouche. Soirée inoubliable digne du Grand Maître.",4/30/2024,46,5
140,5,Un festin digne des plus hauts grades de l'Ordre. Chaque bouchée était une révélation fromagère absolue. Vive les Tenracs !,10/28/2025,297,1
141,5,"Fromage d'exception, tenders bénis, ambiance mystique au rendez-vous. Le Chevalier présidant a honoré la tradition avec brio.",3/13/2024,106,3
142,5,"La lampe à raclette ronronnait comme jamais. Fromage doré, tenders fondants. On ne pouvait rêver meilleure soirée entre Tenracs.",11/6/2024,64,13
143,5,Festin exceptionnel. Chaque plat était une ode à la raclette sacrée. Je suis fier et rassasié d'être membre de cet Ordre.,8/26/2024,274,10
144,5,Les tenders étaient d'une tendreté absolument transcendante. La sauce secrète restera gravée dans ma mémoire pour toujours.,12/23/2024,53,15
145,5,"Raclette somptueuse, ambiance feutrée et solennelle. Le fromage coulait avec une grâce infinie. Honneur et saveur réunis.",8/3/2024,167,9
146,5,"Soirée parfaite de bout en bout. La machine ronronnait, le fromage coulait, les tenders craquaient. L'Ordre est en grande forme.",6/16/2024,280,7
147,5,"Le Grand Chancelier lui-même aurait applaudi. Qualité irréprochable, générosité exemplaire. Un repas de légende tenracienne.",6/16/2024,17,7
148,5,"Les porte-spatules ont assuré avec maestria. Service impeccable, raclette parfaite. Cinq étoiles amplement mérités ce soir.",11/29/2024,87,14
149,5,"Fromage coulant, tenders croustillants, sauce divine. L'adresse secrète était idéale. Une soirée gravée dans les annales de l'Ordre.",3/4/2025,22,18
150,5,Dégustations sublimes. Les chevaliers ont honoré la tradition avec brio. On a raclé jusqu'à l'aube avec joie et dévotion.,10/4/2025,137,4
151,5,"La nuit du fromage interminable portait bien son nom. Délicieuse, généreuse, mystérieuse. Magnifique souvenir de Tenrac.",12/23/2024,144,15
152,5,"Communion parfaite autour du tender béni. Fromage coulant, ambiance chaleureuse. Un moment de grâce pure et fromagère.",1/7/2026,191,8
153,5,"Les Frères de la Lampe Ardente ont brillé ce soir. Tout était parfait, du fromage à l'ambiance. Je reviendrai sans hésiter.",10/28/2025,158,1
154,5,"La croûte dorée méritait amplement son nom. Croustillante, généreuse, parfumée. Le Commandeur a validé chaque plat.",12/14/2025,70,9
155,5,Grand conclave réussi haut la main. Le fil fondu était interminable comme il se doit. Soirée inoubliable entre frères.,7/10/2024,65,8
156,5,Raclette traditionnelle sublimée par un fromage hors du commun. Les tenders dorés étaient à la hauteur des espérances.,1/7/2026,276,8
157,5,"Impossible de trouver le moindre défaut ce soir. Tenders croustillants, fromage coulant, sauce maison irréprochable.",4/30/2024,208,5
158,5,Chaque bouchée de tender nappé de raclette était une prière silencieuse. L'Ordre sait encore recevoir. Chapeau bas.,12/14/2025,187,9
159,5,"La sauce secrète de l'Ordre restera gravée dans ma mémoire. Associée aux tenders et au fromage, c'était divin.",11/29/2024,167,14
160,5,"Organisation parfaite, fromage d'excellence, ambiance solennelle. La dignité du repas Tenrac était pleinement respectée.",2/24/2026,269,5
161,5,"Le Maître d'entretien avait bien préparé la machine. Chauffe optimale, fromage parfait. On sent le soin apporté au rite.",11/6/2024,56,13
162,4,Très bon repas dans l'ensemble. La raclette était généreuse. Quelques tenders un poil trop cuits mais rien de grave.,11/29/2024,22,14
163,4,"Banquet de qualité, le fromage était excellent. Le service aurait pu être plus rapide mais l'ambiance compensait.",12/23/2024,292,15
164,4,Belle dégustation. La raclette manquait légèrement de sel mais les tenders étaient d'excellente facture ce soir.,9/10/2025,226,21
165,4,"Bon repas, la lampe chauffait bien. J'aurais aimé un peu plus de variété dans les accompagnements proposés.",11/29/2024,255,14
166,4,Très bonne soirée. La raclette était fondante. Dommage que le repas ait été un peu court à mon goût personnel.,5/15/2025,74,21
167,4,Bon festin. Les tenders étaient savoureux. La raclette légèrement moins chaude qu'espéré mais très bonne quand même.,3/20/2026,3,24
168,4,Belle nuit fromagère. Fromage de qualité et tenders bien assaisonnés. Ambiance un peu moins mystérieuse qu'habituellement.,11/6/2024,94,13
169,4,"Souper réussi. Raclette généreuse. Petit bémol sur l'organisation de la fin de soirée, un peu précipitée.",8/18/2025,62,25
170,4,Bonne communion autour du tender. Fromage coulant. On aurait apprécié un dessert à la hauteur du reste du repas.,7/25/2025,52,24
171,4,Festin bien réussi. Tenders croustillants et raclette fondante. Quelques minutes d'attente en trop entre les plats.,6/16/2024,191,7
172,4,Conclave plaisant. Léger déception sur la qualité du fromage ce soir mais bon repas dans l'ensemble.,11/29/2024,8,14
173,4,Bonne raclette traditionnelle. Le chevalier présidant a bien géré la soirée. Tenders dorés à la hauteur des espérances.,3/28/2025,261,19
174,4,Festin du tender réussi. Sauce secrète toujours mystérieuse. Manquait un peu de fromage à mon goût ce soir.,7/25/2025,139,24
175,4,"Raclette des ombres bien mystérieuse. Fromage correct, tenders bien frits. Adresse secrète bien choisie ce soir.",9/19/2024,204,11
176,4,Banquet honorable. Petit manque d'originalité dans les plats proposés mais qualité maintenue. On ne se plaint pas.,2/24/2026,28,5
177,4,Bonne soirée tenracienne. Le fromage était coulant et les tenders moelleux. Un rien plus de sauce aurait été parfait.,1/16/2025,124,16
178,4,Repas de qualité servi avec soin. Le Chevalier présidant manquait un peu d'entrain mais le fromage compensait.,11/6/2024,257,13
179,4,"La lampe chauffait bien ce soir. Raclette généreuse, tenders corrects. L'adresse secrète était un bon choix.",10/28/2025,281,1
180,4,Très bon festin dans l'ensemble. Petit bémol sur la cuisson des tenders mais fromage impeccable et abondant.,5/23/2024,5,6
181,4,"Soirée réussie. La confrérie a bien travaillé. Fromage fondant, tenders savoureux. Juste un peu moins d'attente.",5/15/2025,150,21
182,4,"Belle réunion des frères de l'Ordre. Raclette de qualité, ambiance convenable. Les tenders auraient pu être plus chauds.",11/6/2024,177,13
183,4,"Bon repas d'ensemble. Le fil fondu était long mais pas éternel. Fromage correct, tenders bien assaisonnés.",12/23/2024,256,15
184,4,"Réunion agréable. La machine tournait bien. Fromage de bonne facture, tenders un peu secs mais savoureux.",9/19/2024,63,11
185,4,"Festin plaisant. Les porte-spatules ont bien fait leur travail. Raclette généreuse, quelques maladresses à l'organisation.",2/9/2025,264,17
186,4,"Bonne soirée malgré un léger retard au démarrage. Une fois lancée, la raclette était vraiment excellente.",10/28/2025,174,1
187,4,"Repas de bonne tenue. Le Commandeur présidait avec autorité. Fromage fondant, tenders corrects, ambiance solennelle.",10/13/2024,27,12
188,4,Soirée fromagère réussie. Seul bémol : le fromage manquait d'affinage. Mais les tenders rattrapaient largement.,11/6/2024,255,13
189,4,Conclave de qualité. Organisation un peu bancale mais résultat dans l'assiette très satisfaisant. Fromage top.,10/28/2025,292,1
190,4,"Très bon repas. La sauce secrète était particulièrement réussie ce soir. Fromage coulant, tenders bien frits.",6/7/2025,65,22
191,4,"Belle réunion tenracienne. Le mystère de l'adresse bien préservé. Raclette généreuse, tenders savoureux. Bien joué.",2/24/2026,205,5
192,4,Bon festin de l'Ordre. Le fromage était de qualité. On aurait souhaité un peu plus de tenders mais c'était bon.,7/10/2024,222,8
193,4,"Repas plaisant dans l'ensemble. La lampe à raclette chauffait bien. Tenders corrects, fromage abondant. Bonne soirée.",6/7/2025,1,22
194,4,"Soirée convenable. Les frères de la lampe ardente ont assuré l'essentiel. Raclette fondante, tenders acceptables.",2/24/2026,286,5
195,4,"Bonne réunion secrète. L'ambiance était au rendez-vous. Fromage coulant, tenders moelleux. Seul le dessert manquait.",9/19/2024,236,11
196,4,"Repas de qualité. La machine était bien entretenue, ça se sentait. Fromage parfait, tenders légèrement trop salés.",7/10/2024,220,8
197,4,Festin réussi malgré quelques couacs organisationnels. La raclette a sauvé la soirée. Tenders corrects au final.,4/21/2025,69,20
198,4,Belle soirée Tenrac. Fromage généreux et coulant. Tenders un peu trop frits à mon goût mais savoureux quand même.,12/23/2024,222,15
199,4,"Bon repas de l'Ordre. La Haute Dame présidait avec élégance. Fromage fondant, tenders moelleux, sauce agréable.",3/28/2025,167,19
200,4,"Réunion agréable. L'adresse secrète était bien gardée. Raclette généreuse, tenders savoureux. Légère attente entre plats.",4/30/2024,275,5
201,4,"Soirée bien organisée dans l'ensemble. Fromage de qualité, tenders corrects. L'Ordre maintient son niveau habituel.",1/7/2026,87,8
202,4,"Festin honorable. Le Grand Chevalier présidait avec dignité. Raclette fondante, tenders croustillants. Bon repas.",7/10/2024,179,8
203,4,Bonne communion fromagère. Ambiance mystique présente. Raclette généreuse. Dommage que certains tenders fussent froids.,3/28/2025,148,19
204,4,"Repas satisfaisant. La confrérie du coulant sacré a bien tenu ses promesses. Fromage coulant, tenders corrects.",11/6/2024,199,13
205,4,Belle soirée entre initiés. Le fil fondu était long. Fromage excellent. Petite déception sur la variété des plats.,1/16/2025,100,16
206,4,"Bon festin tenracien. L'entretien de la machine se sentait dans la qualité de chauffe. Fromage parfait, tenders bons.",7/10/2024,32,8
207,4,"Soirée de qualité. Les chevaliers ont honoré la tradition. Raclette généreuse, tenders moelleux. Ambiance solennelle.",3/13/2024,290,3
208,4,"Repas réussi. Le mystère de l'adresse bien préservé jusqu'au bout. Fromage fondant, tenders savoureux. Belle soirée.",2/9/2025,79,17
209,4,"Bonne réunion de l'Ordre. Le Maître présidait avec sagesse. Fromage coulant, tenders croustillants. Légère attente.",3/28/2025,45,19
210,4,"Festin de bonne tenue. Organisation correcte, fromage de qualité, tenders bien assaisonnés. On en redemande.",5/15/2025,175,21
211,4,"Belle soirée fromagère. La lampe ardente bien réglée. Raclette généreuse, tenders corrects. Ambiance mystique réussie.",10/13/2024,99,12
212,4,Repas plaisant. Les porte-spatules efficaces. Fromage fondant et abondant. Tenders légèrement trop salés mais bons.,7/10/2024,150,8
